timestamp	style	fichier	lora	seed	prompt
20260817_201638	broccoli	results/kontext_broccoli_test.png	fal/Broccoli-Hair-Kontext-Dev-LoRA	non fixee	Change hair to a broccoli haircut
20260817_224627	brushing_frange	results/kontext_brushing_frange_run8.png	-	non fixee	Change hairstyle to a long, smooth blowout reaching past the shoulders, with soft face-framing bangs and gentle loose waves, sleek and neatly styled, not tousled
20260817_225801	brushing_frange	results/kontext_brushing_frange_run9_v3.png	-	non fixee	Change hairstyle to a long, smooth blowout reaching past the shoulders, with soft face-framing bangs and gentle loose waves, sleek and neatly styled, not tousled
20260817_230654	brushing_frange	results/kontext_brushing_frange_run10_v2.png	-	non fixee	Change hairstyle to a soft round-brush blowout with wispy bangs and gentle loose waves
20260817_231215	brushing_frange	results/kontext_brushing_frange_run11_v4.png	-	non fixee	Change hairstyle to a long, sleek blowout past the shoulders with soft bangs and gentle loose waves, neatly styled. Keep the same face and person unchanged.
20260817_231522	brushing_frange_femme	results/kontext_brushing_frange_femme.png	-	non fixee	This is a woman. Change her hairstyle to a long, sleek blowout past the shoulders with soft bangs and gentle loose waves, neatly styled. Keep the same face and identity unchanged.
20260817_232221	brushing_frange	results/kontext_brushing_frange.png	-	non fixee	Change hairstyle to a long, sleek blowout past the shoulders with soft bangs and gentle loose waves, neatly styled. Keep the same face and identity unchanged.
20260818_002415	curly	results/kontext_curly_20260818_002415.png	-	non fixee	Change hairstyle to natural curly hair, medium length, neatly styled. Keep the same face and identity unchanged.
20260818_002835	curly_femme	results/kontext_curly_femme_20260818_002835.png	-	non fixee	This is a girl. Change her hairstyle to well-defined curly hair, spiral ringlet curls, not frizzy, not afro-textured, medium length, neatly styled. Keep the same face and identity unchanged.
20260818_003457	curly_femme	results/kontext_curly_femme_20260818_003457.png	-	non fixee	This is a girl. Change her hairstyle to well-defined curly hair, spiral ringlet curls, not frizzy, not afro-textured, medium length, neatly styled.
20260818_004353	brushing_frange_femme	results/kontext_brushing_frange_femme_20260818_004353.png	-	seed=0	This is a woman. Change her hairstyle to a long, sleek blowout past the shoulders with soft bangs and gentle loose waves, neatly styled.
20260818_004749	curly_femme	results/kontext_curly_femme_20260818_004749.png	-	seed=0	This is a girl. Change her hairstyle to well-defined curly hair, spiral ringlet curls, not frizzy, not afro-textured, medium length, neatly styled.
